,date,Open,High,Low,Close,Volume,up/down,Sentiment,true_value
5978,2003-09-05,-0.12736092542548685,-0.13990448138746206,-0.13824328731813268,-0.14184918718563191,-0.1902318477232784,-1,0.9462164724535341,1
5979,2003-09-08,-0.13395384501296204,-0.13669140388197706,-0.13499433618573015,-0.13150376709487335,-0.27998536970927435,1,0.8193344624646366,-1
5980,2003-09-09,-0.12368371951575514,-0.13746455065673432,-0.1352481604929491,-0.14005261667230998,-0.2174987404785177,-1,0.8046289250117064,-1
5981,2003-09-10,-0.1321703500485691,-0.14596916517906502,-0.14682254890213334,-0.15241665531736276,-0.12698780480487626,-1,0.7493886932942615,1
5982,2003-09-11,-0.14444440247206014,-0.14826852376892768,-0.14562449817205994,-0.14686545429305334,-0.2601844118751125,1,0.6803780172019933,1
5983,2003-09-12,-0.13893360342477848,-0.1495035504350985,-0.14888360227675124,-0.14463488079055808,-0.3138525817425676,1,0.6763704099585818,-1
5984,2003-09-15,-0.13671926417123434,-0.14936297829423353,-0.14291365457096145,-0.1484904422292603,-0.36005481668894523,-1,0.602774309698835,1
5985,2003-09-16,-0.1405467646004373,-0.1394526423632532,-0.14167499195173305,-0.13384536461785496,-0.22377445389043785,1,0.5541194896514964,-1
5986,2003-09-17,-0.12600827475024504,-0.13776577667287376,-0.1318063028870601,-0.13722655069629786,-0.2589346792904973,-1,0.5569206702886508,1
5987,2003-09-18,-0.1293648523517711,-0.1289097317983806,-0.1305676402678316,-0.12348985143432505,-0.17205391921978558,1,0.6054460727333939,-1
5988,2003-09-19,-0.11572812961840682,-0.1287792005247204,-0.124333715282534,-0.12680038586336773,-0.16134192563737015,-1,0.5815585317259101,-1
5989,2003-09-22,-0.119014569777513,-0.132785506539372,-0.13813160462295646,-0.1404058749193114,-0.29107607013551257,-1,0.6801490500572974,1
5990,2003-09-23,-0.13252103726066874,-0.13899076247183992,-0.13484204160139882,-0.13413806430822758,-0.2786869462447392,1,0.6635259980439423,-1
5991,2003-09-24,-0.12629884415455622,-0.13928194762077445,-0.14764493965752282,-0.15397099160416935,-0.14110815998169654,-1,0.7768805108031906,-1
5992,2003-09-25,-0.145987426205299,-0.15319858956640614,-0.15340167494524864,-0.16013787128753856,-0.15517441418082795,-1,0.7647400769225368,1
5993,2003-09-26,-0.1521094229650974,-0.1657697553066161,-0.16069150904857696,-0.16661763684682332,-0.18628247635198386,1,0.7343161581772374,-1
5994,2003-09-29,-0.15854202839846984,-0.16231569698821982,-0.1614732879148114,-0.15679705758018134,-0.24362951270228864,-1,0.7697187478972106,1
5995,2003-09-30,-0.14879292390209692,-0.16262696387156364,-0.16649900919774666,-0.1675058290107128,-0.12244332267900306,1,0.7683816352018488,-1
5996,2003-10-01,-0.15942375624603491,-0.15093939444536206,-0.1608031917437533,-0.1450486975941884,-0.135535759279733,-1,0.705859315572403,1
5997,2003-10-02,-0.13713006919112258,-0.14727447791566825,-0.1431268669890254,-0.14300989285435112,-0.2962156630159644,1,0.6997638434920589,1
5998,2003-10-03,-0.1351061029955755,-0.1297632055107752,-0.1361619279989373,-0.133310430700967,-0.13326351821679638,1,0.5961661452181909,1
5999,2003-10-06,-0.12547723411477976,-0.1326047709296884,-0.12711562968965373,-0.12876853895380472,-0.42795154368859856,1,0.7656995430628574,1
6000,2003-10-07,-0.12096839853064018,-0.12982345071400295,-0.1300396857088162,-0.12382292349578353,-0.29069736329168977,1,0.7616784408285153,-1
6001,2003-10-08,-0.11605877756124365,-0.12901014047042714,-0.12527794170538856,-0.12934384524177855,-0.2998945294988141,-1,0.6936172268884254,1
6002,2003-10-09,-0.12153951770463113,-0.12075654762821257,-0.12241480351995886,-0.12434776431990005,-0.1288272380463011,1,0.7140116864954832,-1
6003,2003-10-10,-0.11657979856207755,-0.12822695282846522,-0.1204248209513622,-0.1250240015355887,-0.3834264390505789,-1,0.6566531675839846,1
6004,2003-10-13,-0.11725111408238285,-0.12013401386152475,-0.11806933138037035,-0.11766613690518593,-0.4199986999683204,1,0.7344243312956906,1
6005,2003-10-14,-0.10994680043607677,-0.11954160269645105,-0.11524680508409565,-0.113497689590568,-0.2948090375960513,1,0.7939628402093004,-1
6006,2003-10-15,-0.10580869133329968,-0.11522402979845565,-0.11290146848539236,-0.11624301082440833,-0.159989401195146,-1,0.7587976440086917,1
6007,2003-10-16,-0.1085340319530463,-0.11607750351085,-0.11199785395169301,-0.11290219711705128,-0.21592981212553766,1,0.8519031094189999,-1
6008,2003-10-17,-0.1052175328900459,-0.11713179456733723,-0.11958212425139535,-0.1237522718463833,-0.25147415446718885,-1,0.8876093151158064,1
6009,2003-10-20,-0.11598864011882375,-0.12436121895467846,-0.12002885503210052,-0.11834237412087435,-0.3485313084411953,1,0.9261122937256365,1
6010,2003-10-21,-0.11061811595638184,-0.12046536247927805,-0.11347003493356295,-0.11697980659672574,-0.1724867270412973,1,0.9799998498039925,-1
6011,2003-10-22,-0.10926546528114006,-0.12301574274925672,-0.12788725558359934,-0.13279568296962194,-0.09176806832935884,-1,0.9638294129643308,1
6012,2003-10-23,-0.12496623274857728,-0.13364902111897098,-0.13042549865578887,-0.12935393833455,-0.1149773877579256,1,0.9714886624218253,-1
6013,2003-10-24,-0.12154953733926252,-0.13532584594214606,-0.13811129867837885,-0.13425918142148513,-0.2145231867056245,-1,0.9698772315241739,1
6014,2003-10-27,-0.12641907977013314,-0.13132958079469906,-0.12735930102458393,-0.1320185148262184,-0.24076216088477345,1,1.1480238766172501,1
6015,2003-10-28,-0.12419472088195765,-0.12225263684170405,-0.1251053411764796,-0.11621273154609395,-0.10150624431337286,1,1.1671258550668806,1
