,Date,Open,High,Low,Close,Volume,up/down,true_value
9820,2018-12-10,1.4786762900103978,1.4850090583395192,1.450737487761671,1.4895276767456453,1.2628284413402988,1,-1
9821,2018-12-11,1.5123222231027105,1.511958745916774,1.4893898532649734,1.4885789260251274,1.1301944844380276,-1,1
9822,2018-12-12,1.5061000299965976,1.5230940676467206,1.518792861013217,1.5030019555955603,1.1588788228087177,-1,-1
9823,2018-12-13,1.5065709528242743,1.5077817451596438,1.50560415001012,1.5024670216786722,1.142015548063067,-1,-1
9824,2018-12-14,1.4774939731238899,1.4725182195369462,1.4615097913600434,1.451406065347797,1.2000658971233285,-1,-1
9825,2018-12-17,1.438487535503767,1.4384395162443961,1.3972414767722043,1.3968932712890787,1.514571110722599,-1,1
9826,2018-12-18,1.4075769626658325,1.4111886026510014,1.3953834828433616,1.397115319330051,1.435870418478459,-1,-1
9827,2018-12-19,1.3947017321644561,1.4225347825922454,1.355025417995548,1.3575503956658823,1.7913463024815843,-1,-1
9828,2018-12-20,1.34432300923767,1.346565581321935,1.3065145163998615,1.3176423068474834,2.03904221873275,-1,-1
9829,2018-12-21,1.3128713761296387,1.3413242486411125,1.273385367821644,1.2663693955684072,3.133629429629233,-1,-1
9830,2018-12-24,1.2479241044487657,1.246869810847059,1.2150565420227282,1.200239451729725,0.4312423132831899,-1,1
9831,2018-12-26,1.2104105923887245,1.3045244703361052,1.2104673985482095,1.3179249134450843,1.3077106124310656,1,1
9832,2018-12-27,1.2899464520929467,1.3259516809508078,1.2626130642232716,1.339251618471204,1.233386689281963,1,-1
9833,2018-12-28,1.346326936163954,1.3572490640276724,1.3387095915275136,1.336132852804819,1.0202342472852026,-1,1
9834,2018-12-31,1.3464972699526883,1.3461739875009537,1.3487914930102507,1.3574393716453959,0.8797069577381113,1,1
9835,2019-01-02,1.3244741130328244,1.3564658763857103,1.3332066805470066,1.3606489751467243,1.036756685871413,1,-1
9836,2019-01-03,1.3394634864414305,1.3300081913014825,1.3093370426961364,1.297930496664799,1.0852852628584162,-1,1
9837,2019-01-04,1.3218389491247604,1.375121807651933,1.3401716195370947,1.3827629414090186,1.2965766312226763,1,1
9838,2019-01-07,1.3832392701461103,1.4033266036297678,1.391169999343527,1.4006781810783806,1.2377688684747694,1,1
9839,2019-01-08,1.4158030826982293,1.4170424282313072,1.4145218356076708,1.4256283064094584,1.2260397765118014,1,1
9840,2019-01-09,1.427716428274989,1.4326057723985,1.4361781254995918,1.436276519283361,1.209511927827822,1,1
9841,2019-01-10,1.421213685399197,1.43511598919966,1.429203033537215,1.44806525164044,1.021251345665755,1,-1
9842,2019-01-11,1.435842351961072,1.4335596547829408,1.444818304917325,1.4476817141151244,0.8751732958077759,1,-1
9843,2019-01-14,1.428027036948563,1.4265812520757157,1.4377213772874828,1.4339046424820654,0.9995839041013239,1,1
