Date,Open,High,Low,Close*,Adj Close**,Volume
2007-03-09,"1,401.89","1,410.15","1,397.30","1,402.84","1,402.84","2,623,050,000"
2007-03-12,"1,402.80","1,409.34","1,398.40","1,406.60","1,406.60","2,664,000,000"
2007-03-13,"1,406.23","1,406.23","1,377.71","1,377.95","1,377.95","3,485,570,000"
2007-03-14,"1,377.86","1,388.09","1,363.98","1,387.17","1,387.17","3,758,350,000"
2007-03-15,"1,387.11","1,395.73","1,385.16","1,392.28","1,392.28","2,821,900,000"
2007-03-16,"1,392.28","1,397.51","1,383.63","1,386.95","1,386.95","3,393,640,000"
2007-03-19,"1,386.95","1,403.20","1,386.95","1,402.06","1,402.06","2,777,180,000"
2007-03-20,"1,402.04","1,411.53","1,400.70","1,410.94","1,410.94","2,795,940,000"
2007-03-21,"1,410.92","1,437.77","1,409.75","1,435.04","1,435.04","3,184,770,000"
2007-03-22,"1,435.04","1,437.66","1,429.88","1,434.54","1,434.54","3,129,970,000"
2007-03-23,"1,434.54","1,438.89","1,433.21","1,436.11","1,436.11","2,619,020,000"
2007-03-26,"1,436.11","1,437.65","1,423.28","1,437.50","1,437.50","2,754,660,000"
2007-03-27,"1,437.49","1,437.49","1,425.54","1,428.61","1,428.61","2,673,040,000"
2007-03-28,"1,428.35","1,428.35","1,414.07","1,417.23","1,417.23","3,000,440,000"
2007-03-29,"1,417.17","1,426.24","1,413.27","1,422.53","1,422.53","2,854,710,000"
2007-03-30,"1,422.52","1,429.22","1,408.90","1,420.86","1,420.86","2,903,960,000"
2007-04-02,"1,420.83","1,425.49","1,416.37","1,424.55","1,424.55","2,875,880,000"
2007-04-03,"1,424.27","1,440.57","1,424.27","1,437.77","1,437.77","2,921,760,000"
2007-04-04,"1,437.75","1,440.16","1,435.08","1,439.37","1,439.37","2,616,320,000"
2007-04-05,"1,438.94","1,444.88","1,436.67","1,443.76","1,443.76","2,357,230,000"
2007-04-09,"1,443.77","1,448.10","1,443.28","1,444.61","1,444.61","2,349,410,000"
2007-04-10,"1,444.58","1,448.73","1,443.99","1,448.39","1,448.39","2,510,110,000"
2007-04-11,"1,448.23","1,448.39","1,436.15","1,438.87","1,438.87","2,950,190,000"
2007-04-12,"1,438.87","1,448.02","1,433.91","1,447.80","1,447.80","2,770,570,000"
2007-04-13,"1,447.80","1,453.11","1,444.15","1,452.85","1,452.85","2,690,020,000"
2007-04-16,"1,452.84","1,468.62","1,452.84","1,468.33","1,468.33","2,870,140,000"
2007-04-17,"1,468.47","1,474.35","1,467.15","1,471.48","1,471.48","2,920,570,000"
2007-04-18,"1,471.47","1,476.57","1,466.41","1,472.50","1,472.50","2,971,330,000"
2007-04-19,"1,472.48","1,474.23","1,464.47","1,470.73","1,470.73","2,913,610,000"
2007-04-20,"1,470.69","1,484.74","1,470.69","1,484.35","1,484.35","3,329,940,000"
2007-04-23,"1,484.33","1,487.32","1,480.19","1,480.93","1,480.93","2,575,020,000"
2007-04-24,"1,480.93","1,483.82","1,473.74","1,480.41","1,480.41","3,119,750,000"
2007-04-25,"1,480.28","1,496.59","1,480.28","1,495.42","1,495.42","3,252,590,000"
2007-04-26,"1,495.27","1,498.02","1,491.17","1,494.25","1,494.25","3,211,800,000"
2007-04-27,"1,494.21","1,497.32","1,488.67","1,494.07","1,494.07","2,732,810,000"
2007-04-30,"1,494.07","1,497.16","1,482.29","1,482.37","1,482.37","3,093,420,000"
2007-05-01,"1,482.37","1,487.27","1,476.70","1,486.30","1,486.30","3,400,350,000"
2007-05-02,"1,486.13","1,499.10","1,486.13","1,495.92","1,495.92","3,189,800,000"
2007-05-03,"1,495.56","1,503.34","1,495.56","1,502.39","1,502.39","3,007,970,000"
